Order_ID,Order_Date,Ship_Date,Year,Month,Quarter,Region,State,Category,Product,Customer_ID,Customer_Name,Customer_Segment,Sales_Rep,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Gross_Sales,Net_Sales,Unit_Cost,Total_Cost,Profit,Profit_Margin_Pct,Ship_Mode,Payment_Method,Order_Status,Returned
ORD-10014,2025-05-14,2025-05-16,2025,May,Q2,West,Oregon,Appliances,Coffee Maker,CUST-1014,James Ali,Home Office,A. Khan,5,1164.63,0.0,0.0,5823.15,5823.15,678.91,3394.55,2428.6,41.71,Standard,Debit Card,Delivered,No
ORD-10015,2024-03-13,2024-03-20,2024,March,Q1,West,Washington,Appliances,Microwave,CUST-1015,Olivia Butt,Corporate,J. Chen,7,2257.57,0.0,0.0,15802.99,15802.99,1272.57,8907.99,6895.0,43.63,Economy,Cash,Cancelled,No
ORD-10016,2024-03-21,2024-03-22,2024,March,Q1,South,Texas,Furniture,Bookshelf,CUST-1016,Bilal Khan,Home Office,S. Fatima,10,1843.31,0.0,0.0,18433.1,18433.1,1243.11,12431.1,6002.0,32.56,Standard,Cash,Delivered,No
ORD-10017,2023-05-20,2023-05-26,2023,May,Q2,East,New York,Electronics,Headphones,CUST-1017,Isabella Shaikh,Consumer,M. Ali,14,599.48,0.0,0.0,8392.72,8392.72,439.11,6147.54,2245.18,26.75,Economy,Cash,Delivered,No
ORD-10018,2024-02-23,2024-02-29,2024,February,Q1,Central,Ohio,Office Supplies,Notebook,CUST-1018,Omar Johnson,Consumer,A. Khan,12,795.75,0.1,954.9,9549.0,8594.1,452.57,5430.84,3163.26,36.81,Economy,Cash,Delivered,No
ORD-10019,2024-03-12,2024-03-17,2024,March,Q1,Central,Illinois,Electronics,Headphones,CUST-1019,Farhan Chaudhry,Corporate,J. Chen,5,344.15,0.15,258.11,1720.75,1462.64,245.81,1229.05,233.59,15.97,Standard,Cash,Delivered,No
ORD-10020,2024-06-25,2024-06-26,2024,June,Q2,North,Michigan,Electronics,Smartphone,CUST-1020,Mason Shaikh,Consumer,J. Chen,15,280.98,0.0,0.0,4214.7,4214.7,149.4,2241.0,1973.7,46.83,Economy,PayPal,Shipped,No
ORD-10021,2023-04-01,2023-04-02,2023,April,Q2,East,New York,Appliances,Microwave,CUST-1021,Ava Brown,Home Office,A. Khan,6,1931.23,0.1,1158.74,11587.38,10428.64,962.67,5776.02,4652.62,44.61,Standard,Credit Card,Shipped,No
ORD-10022,2023-10-31,2023-11-04,2023,October,Q4,West,Oregon,Electronics,Tablet,CUST-1022,Bilal Chaudhry,Consumer,M. Ali,3,118.94,0.15,53.52,356.82,303.3,85.6,256.8,46.5,15.33,Same Day,Cash,Delivered,No
ORD-10023,2023-11-29,2023-12-06,2023,November,Q4,South,Georgia,Furniture,Standing Desk,CUST-1023,Emma Smith,Home Office,R. Ahmed,13,454.98,0.2,1182.95,5914.74,4731.79,208.12,2705.56,2026.23,42.82,Same Day,Debit Card,Processing,No
ORD-10024,2024-03-31,2024-04-02,2024,March,Q1,East,New Jersey,Electronics,Monitor,CUST-1024,Farhan Shaikh,Consumer,T. Brown,14,2297.35,0.15,4824.44,32162.9,27338.46,1244.15,17418.1,9920.36,36.29,Same Day,PayPal,Delivered,No
ORD-10025,2024-11-09,2024-11-10,2024,November,Q4,East,New Jersey,Office Supplies,Pen Set,CUST-1025,Nida Khan,Corporate,L. Garcia,2,2194.44,0.1,438.89,4388.88,3949.99,1105.05,2210.1,1739.89,44.05,Same Day,Bank Transfer,Delivered,No
ORD-10026,2024-01-25,2024-01-28,2024,January,Q1,Central,Ohio,Electronics,Monitor,CUST-1026,James Shaikh,Consumer,L. Garcia,1,1776.33,0.0,0.0,1776.33,1776.33,1076.41,1076.41,699.92,39.4,Same Day,Credit Card,Delivered,No
ORD-10027,2024-10-30,2024-11-03,2024,October,Q4,North,Michigan,Office Supplies,Pen Set,CUST-1027,Olivia Malik,Corporate,T. Brown,12,749.7,0.0,0.0,8996.4,8996.4,380.51,4566.12,4430.28,49.25,Standard,PayPal,Shipped,No
ORD-10028,2024-10-21,2024-10-25,2024,October,Q4,North,Minnesota,Appliances,Air Purifier,CUST-1028,Zain Ali,Home Office,L. Garcia,8,1113.77,0.05,445.51,8910.16,8464.65,672.0,5376.0,3088.65,36.49,Standard,Debit Card,Delivered,No
ORD-10029,2023-02-20,2023-02-21,2023,February,Q1,North,Minnesota,Furniture,Standing Desk,CUST-1029,Isabella Shaikh,Corporate,N. Patel,4,2460.08,0.0,0.0,9840.32,9840.32,1443.14,5772.56,4067.76,41.34,Economy,Debit Card,Shipped,No
ORD-10030,2025-05-20,2025-05-22,2025,May,Q2,West,Oregon,Electronics,Laptop,CUST-1030,Farhan Ali,Corporate,L. Garcia,3,2013.21,0.25,1509.91,6039.63,4529.72,936.27,2808.81,1720.91,37.99,Economy,Cash,Delivered,No
ORD-10031,2025-08-30,2025-09-03,2025,August,Q3,Central,Missouri,Appliances,Coffee Maker,CUST-1031,Sophia Johnson,Corporate,N. Patel,5,1883.17,0.1,941.59,9415.85,8474.26,1280.07,6400.35,2073.91,24.47,Standard,PayPal,Shipped,No
ORD-10032,2023-06-15,2023-06-17,2023,June,Q2,West,Washington,Office Supplies,Notebook,CUST-1032,Sara Smith,Home Office,N. Patel,3,589.68,0.0,0.0,1769.04,1769.04,390.32,1170.96,598.08,33.81,Economy,Credit Card,Delivered,No
ORD-10033,2023-02-10,2023-02-17,2023,February,Q1,West,Washington,Appliances,Air Purifier,CUST-1033,Liam Butt,Corporate,R. Ahmed,15,1917.5,0.2,5752.5,28762.5,23010.0,1137.26,17058.9,5951.1,25.86,Economy,Debit Card,Processing,No
ORD-10034,2025-03-07,2025-03-10,2025,March,Q1,North,Wisconsin,Appliances,Coffee Maker,CUST-1034,Ava Malik,Home Office,A. Khan,11,1702.67,0.2,3745.87,18729.37,14983.5,1136.11,12497.21,2486.29,16.59,Economy,Cash,Returned,Yes
ORD-10035,2025-05-27,2025-05-29,2025,May,Q2,Central,Ohio,Electronics,Laptop,CUST-1035,Emma Shaikh,Corporate,T. Brown,14,1162.32,0.0,0.0,16272.48,16272.48,613.76,8592.64,7679.84,47.2,Same Day,Bank Transfer,Delivered,No
ORD-10036,2023-04-17,2023-04-20,2023,April,Q2,North,Minnesota,Appliances,Coffee Maker,CUST-1036,Farhan Shaikh,Home Office,S. Fatima,4,1630.61,0.0,0.0,6522.44,6522.44,1102.73,4410.92,2111.52,32.37,Express,Debit Card,Processing,No
ORD-10037,2024-03-22,2024-03-26,2024,March,Q1,South,Georgia,Electronics,Headphones,CUST-1037,Mason Ali,Consumer,J. Chen,12,651.77,0.15,1173.19,7821.24,6648.05,326.1,3913.2,2734.85,41.14,Standard,Cash,Processing,No
ORD-10038,2024-02-11,2024-02-12,2024,February,Q1,East,New Jersey,Appliances,Microwave,CUST-1038,Omar Davis,Home Office,A. Khan,10,1731.18,0.05,865.59,17311.8,16446.21,831.95,8319.5,8126.71,49.41,Same Day,Cash,Processing,No
ORD-10039,2025-11-02,2025-11-08,2025,November,Q4,South,Georgia,Office Supplies,Printer Paper,CUST-1039,Usman Smith,Home Office,N. Patel,6,46.44,0.2,55.73,278.64,222.91,32.35,194.1,28.81,12.92,Express,Bank Transfer,Returned,Yes
ORD-10040,2025-08-10,2025-08-14,2025,August,Q3,West,Oregon,Office Supplies,Pen Set,CUST-1040,Farhan Ali,Corporate,R. Ahmed,14,1831.6,0.1,2564.24,25642.4,23078.16,1001.32,14018.48,9059.68,39.26,Economy,Cash,Delivered,No
ORD-10041,2023-02-28,2023-03-04,2023,February,Q1,Central,Ohio,Appliances,Microwave,CUST-1041,Nida Chaudhry,Home Office,J. Chen,14,822.66,0.25,2879.31,11517.24,8637.93,422.55,5915.7,2722.23,31.51,Standard,Cash,Delivered,No
ORD-10042,2025-09-27,2025-10-02,2025,September,Q3,West,California,Furniture,Filing Cabinet,CUST-1042,William Johnson,Consumer,J. Chen,13,612.2,0.25,1989.65,7958.6,5968.95,394.12,5123.56,845.39,14.16,Express,Bank Transfer,Processing,No
ORD-10043,2025-12-23,2025-12-26,2025,December,Q4,West,Washington,Office Supplies,Pen Set,CUST-1043,Ava Butt,Consumer,M. Ali,7,2491.63,0.15,2616.21,17441.41,14825.2,1384.21,9689.47,5135.73,34.64,Express,PayPal,Delivered,No
ORD-10044,2024-03-19,2024-03-25,2024,March,Q1,East,Massachusetts,Furniture,Standing Desk,CUST-1044,Mariam Butt,Consumer,J. Chen,8,702.1,0.1,561.68,5616.8,5055.12,522.47,4179.76,875.36,17.32,Standard,Cash,Delivered,No
ORD-10045,2024-08-21,2024-08-27,2024,August,Q3,West,Washington,Electronics,Laptop,CUST-1045,Ayesha Davis,Corporate,N. Patel,3,1600.11,0.25,1200.08,4800.33,3600.25,769.29,2307.87,1292.38,35.9,Same Day,Debit Card,Delivered,No
ORD-10046,2023-05-14,2023-05-18,2023,May,Q2,East,New Jersey,Appliances,Coffee Maker,CUST-1046,Isabella Butt,Consumer,M. Ali,8,199.09,0.0,0.0,1592.72,1592.72,98.65,789.2,803.52,50.45,Economy,Cash,Delivered,No
ORD-10047,2025-07-11,2025-07-15,2025,July,Q3,Central,Ohio,Furniture,Filing Cabinet,CUST-1047,Mason Khan,Home Office,M. Ali,5,2152.51,0.2,2152.51,10762.55,8610.04,1165.83,5829.15,2780.89,32.3,Express,Debit Card,Shipped,No
ORD-10048,2024-05-06,2024-05-08,2024,May,Q2,North,Michigan,Electronics,Smartphone,CUST-1048,Mason Johnson,Consumer,J. Chen,9,201.54,0.0,0.0,1813.86,1813.86,115.39,1038.51,775.35,42.75,Same Day,Bank Transfer,Delivered,No
ORD-10049,2024-02-10,2024-02-14,2024,February,Q1,East,Massachusetts,Furniture,Bookshelf,CUST-1049,Hina Ali,Corporate,J. Chen,2,1368.24,0.0,0.0,2736.48,2736.48,988.59,1977.18,759.3,27.75,Economy,Credit Card,Delivered,No
ORD-10050,2024-07-11,2024-07-16,2024,July,Q3,South,Georgia,Office Supplies,Pen Set,CUST-1050,Noah Chaudhry,Consumer,M. Ali,9,1242.08,0.0,0.0,11178.72,11178.72,781.78,7036.02,4142.7,37.06,Express,Cash,Shipped,No
ORD-10051,2023-12-25,2023-12-29,2023,December,Q4,Central,Illinois,Office Supplies,Printer Paper,CUST-1051,Isabella Smith,Corporate,M. Ali,9,1634.0,0.1,1470.6,14706.0,13235.4,824.27,7418.43,5816.97,43.95,Economy,PayPal,Shipped,No
ORD-10052,2023-11-26,2023-11-29,2023,November,Q4,South,Florida,Office Supplies,Printer Paper,CUST-1052,Olivia Brown,Consumer,L. Garcia,7,1738.78,0.1,1217.15,12171.46,10954.31,1128.08,7896.56,3057.75,27.91,Same Day,PayPal,Delivered,No
ORD-10053,2025-08-04,2025-08-08,2025,August,Q3,East,New Jersey,Electronics,Headphones,CUST-1053,William Johnson,Consumer,J. Chen,1,481.14,0.15,72.17,481.14,408.97,306.39,306.39,102.58,25.08,Express,PayPal,Processing,No
ORD-10054,2023-03-01,2023-03-07,2023,March,Q1,South,Georgia,Appliances,Coffee Maker,CUST-1054,Ayesha Brown,Consumer,M. Ali,10,2001.29,0.0,0.0,20012.9,20012.9,1087.15,10871.5,9141.4,45.68,Economy,Credit Card,Delivered,No
ORD-10055,2025-04-30,2025-05-07,2025,April,Q2,West,Washington,Office Supplies,Notebook,CUST-1055,Hina Smith,Home Office,S. Fatima,8,2450.91,0.05,980.36,19607.28,18626.92,1438.77,11510.16,7116.76,38.21,Standard,PayPal,Delivered,No
ORD-10056,2024-08-02,2024-08-08,2024,August,Q3,South,Florida,Office Supplies,Printer Paper,CUST-1056,Ava Brown,Corporate,T. Brown,5,2096.13,0.25,2620.16,10480.65,7860.49,1487.37,7436.85,423.64,5.39,Economy,PayPal,Delivered,No
ORD-10057,2024-04-23,2024-04-30,2024,April,Q2,West,Oregon,Furniture,Filing Cabinet,CUST-1057,Olivia Smith,Home Office,S. Fatima,13,1035.78,0.15,2019.77,13465.14,11445.37,697.51,9067.63,2377.74,20.77,Economy,Credit Card,Returned,Yes
ORD-10058,2025-06-20,2025-06-21,2025,June,Q2,West,Oregon,Office Supplies,Printer Paper,CUST-1058,Noah Malik,Corporate,L. Garcia,9,2277.45,0.0,0.0,20497.05,20497.05,1518.45,13666.05,6831.0,33.33,Economy,Credit Card,Delivered,No
ORD-10059,2025-09-26,2025-10-03,2025,September,Q3,North,Michigan,Appliances,Microwave,CUST-1059,Omar Shaikh,Corporate,M. Ali,9,104.21,0.0,0.0,937.89,937.89,54.23,488.07,449.82,47.96,Standard,Bank Transfer,Shipped,No
ORD-10060,2023-04-05,2023-04-08,2023,April,Q2,West,Oregon,Office Supplies,Printer Paper,CUST-1060,Hina Shaikh,Home Office,S. Fatima,13,154.46,0.15,301.2,2007.98,1706.78,86.88,1129.44,577.34,33.83,Express,Debit Card,Delivered,No
ORD-10061,2024-05-08,2024-05-12,2024,May,Q2,East,Massachusetts,Appliances,Air Purifier,CUST-1061,Nida Johnson,Consumer,N. Patel,15,1464.15,0.05,1098.11,21962.25,20864.14,861.43,12921.45,7942.69,38.07,Same Day,Cash,Delivered,No
ORD-10062,2024-09-04,2024-09-10,2024,September,Q3,West,California,Appliances,Microwave,CUST-1062,Mariam Smith,Consumer,R. Ahmed,7,1730.43,0.25,3028.25,12113.01,9084.76,1217.52,8522.64,562.12,6.19,Economy,Cash,Cancelled,No
ORD-10063,2023-02-14,2023-02-21,2023,February,Q1,North,Michigan,Office Supplies,Notebook,CUST-1063,Bilal Davis,Corporate,R. Ahmed,11,998.58,0.0,0.0,10984.38,10984.38,618.9,6807.9,4176.48,38.02,Same Day,Debit Card,Shipped,No
ORD-10064,2023-07-18,2023-07-24,2023,July,Q3,West,Oregon,Office Supplies,Stapler,CUST-1064,Liam Malik,Corporate,L. Garcia,11,112.97,0.25,310.67,1242.67,932.0,51.97,571.67,360.33,38.66,Economy,Debit Card,Delivered,No
ORD-10065,2023-12-03,2023-12-06,2023,December,Q4,West,California,Office Supplies,Notebook,CUST-1065,Omar Chaudhry,Corporate,M. Ali,15,2064.35,0.25,7741.31,30965.25,23223.94,1528.06,22920.9,303.04,1.3,Express,Debit Card,Processing,No
ORD-10066,2025-03-19,2025-03-20,2025,March,Q1,South,Georgia,Office Supplies,Printer Paper,CUST-1066,Nida Davis,Home Office,L. Garcia,5,1348.38,0.25,1685.47,6741.9,5056.43,755.87,3779.35,1277.08,25.26,Standard,Debit Card,Delivered,No
ORD-10067,2023-05-10,2023-05-16,2023,May,Q2,South,Texas,Office Supplies,Stapler,CUST-1067,Usman Malik,Consumer,J. Chen,14,1168.7,0.1,1636.18,16361.8,14725.62,753.54,10549.56,4176.06,28.36,Economy,Credit Card,Delivered,No
ORD-10068,2025-07-18,2025-07-21,2025,July,Q3,East,New York,Furniture,Filing Cabinet,CUST-1068,Hina Smith,Corporate,T. Brown,11,2374.21,0.2,5223.26,26116.31,20893.05,1486.74,16354.14,4538.91,21.72,Same Day,Credit Card,Shipped,No
ORD-10069,2024-04-28,2024-05-05,2024,April,Q2,North,Minnesota,Appliances,Microwave,CUST-1069,Liam Khan,Consumer,M. Ali,6,261.9,0.15,235.71,1571.4,1335.69,160.63,963.78,371.91,27.84,Economy,Credit Card,Delivered,No
ORD-10070,2024-11-14,2024-11-16,2024,November,Q4,West,Oregon,Electronics,Laptop,CUST-1070,James Shaikh,Consumer,L. Garcia,3,1970.64,0.05,295.6,5911.92,5616.32,927.35,2782.05,2834.27,50.46,Express,Cash,Delivered,No
ORD-10071,2024-05-28,2024-06-04,2024,May,Q2,East,New Jersey,Furniture,Standing Desk,CUST-1071,Liam Shaikh,Consumer,S. Fatima,3,288.17,0.0,0.0,864.51,864.51,141.07,423.21,441.3,51.05,Same Day,Credit Card,Delivered,No
ORD-10072,2023-08-21,2023-08-27,2023,August,Q3,West,Oregon,Appliances,Air Purifier,CUST-1072,Usman Johnson,Home Office,A. Khan,2,1198.47,0.15,359.54,2396.94,2037.4,723.84,1447.68,589.72,28.94,Same Day,Bank Transfer,Delivered,No
ORD-10073,2025-05-23,2025-05-29,2025,May,Q2,East,New York,Appliances,Microwave,CUST-1073,Sara Chaudhry,Consumer,S. Fatima,2,1233.32,0.25,616.66,2466.64,1849.98,582.19,1164.38,685.6,37.06,Same Day,Cash,Shipped,No
ORD-10074,2025-12-22,2025-12-25,2025,December,Q4,Central,Ohio,Office Supplies,Pen Set,CUST-1074,Usman Brown,Consumer,T. Brown,8,1271.29,0.2,2034.06,10170.32,8136.26,609.91,4879.28,3256.98,40.03,Economy,Debit Card,Shipped,No
ORD-10075,2025-05-01,2025-05-07,2025,May,Q2,South,Florida,Appliances,Microwave,CUST-1075,Liam Malik,Corporate,M. Ali,2,791.68,0.15,237.5,1583.36,1345.86,514.22,1028.44,317.42,23.58,Standard,Credit Card,Shipped,No
ORD-10076,2023-09-24,2023-09-29,2023,September,Q3,East,New Jersey,Electronics,Tablet,CUST-1076,Noah Chaudhry,Corporate,A. Khan,1,1472.37,0.15,220.86,1472.37,1251.51,958.52,958.52,292.99,23.41,Same Day,Cash,Cancelled,No
ORD-10077,2025-11-05,2025-11-07,2025,November,Q4,North,Wisconsin,Electronics,Headphones,CUST-1077,Liam Brown,Corporate,R. Ahmed,3,1646.99,0.05,247.05,4940.97,4693.92,1159.78,3479.34,1214.58,25.88,Economy,Cash,Delivered,No
ORD-10078,2024-07-01,2024-07-02,2024,July,Q3,Central,Ohio,Electronics,Headphones,CUST-1078,Liam Khan,Consumer,T. Brown,3,694.08,0.1,208.22,2082.24,1874.02,504.22,1512.66,361.36,19.28,Standard,Debit Card,Delivered,No
ORD-10079,2025-05-09,2025-05-13,2025,May,Q2,East,New York,Furniture,Filing Cabinet,CUST-1079,Isabella Davis,Consumer,S. Fatima,6,406.16,0.1,243.7,2436.96,2193.26,270.7,1624.2,569.06,25.95,Express,Cash,Delivered,No
ORD-10080,2025-06-26,2025-07-02,2025,June,Q2,East,Massachusetts,Electronics,Tablet,CUST-1080,Mariam Brown,Corporate,M. Ali,7,1221.87,0.25,2138.27,8553.09,6414.82,701.67,4911.69,1503.13,23.43,Same Day,Cash,Delivered,No
ORD-10081,2024-03-27,2024-03-31,2024,March,Q1,South,Georgia,Office Supplies,Printer Paper,CUST-1081,Mariam Malik,Corporate,L. Garcia,10,151.13,0.05,75.56,1511.3,1435.74,81.67,816.7,619.04,43.12,Standard,Credit Card,Processing,No
ORD-10082,2023-09-22,2023-09-26,2023,September,Q3,South,Georgia,Appliances,Coffee Maker,CUST-1082,Bilal Smith,Consumer,L. Garcia,9,1763.62,0.15,2380.89,15872.58,13491.69,831.76,7485.84,6005.85,44.52,Economy,Cash,Delivered,No
ORD-10083,2023-08-24,2023-08-28,2023,August,Q3,South,Georgia,Appliances,Microwave,CUST-1083,Mason Johnson,Corporate,M. Ali,1,2416.01,0.0,0.0,2416.01,2416.01,1668.01,1668.01,748.0,30.96,Economy,Credit Card,Processing,No
ORD-10084,2023-06-11,2023-06-15,2023,June,Q2,West,Washington,Appliances,Air Purifier,CUST-1084,Zain Ali,Consumer,R. Ahmed,14,786.03,0.15,1650.66,11004.42,9353.76,405.96,5683.44,3670.32,39.24,Same Day,PayPal,Delivered,No
ORD-10085,2024-06-08,2024-06-10,2024,June,Q2,West,California,Electronics,Smartphone,CUST-1085,William Johnson,Home Office,N. Patel,3,1511.96,0.0,0.0,4535.88,4535.88,760.73,2282.19,2253.69,49.69,Same Day,PayPal,Processing,No
ORD-10086,2025-06-24,2025-06-30,2025,June,Q2,West,Washington,Electronics,Monitor,CUST-1086,Sara Butt,Consumer,A. Khan,5,1993.88,0.0,0.0,9969.4,9969.4,1107.77,5538.85,4430.55,44.44,Same Day,PayPal,Delivered,No
ORD-10087,2025-11-04,2025-11-08,2025,November,Q4,East,Massachusetts,Electronics,Headphones,CUST-1087,Isabella Shaikh,Corporate,S. Fatima,8,1457.12,0.0,0.0,11656.96,11656.96,852.3,6818.4,4838.56,41.51,Standard,Bank Transfer,Delivered,No
ORD-10088,2023-12-20,2023-12-21,2023,December,Q4,East,New Jersey,Electronics,Headphones,CUST-1088,Mason Malik,Corporate,T. Brown,4,1773.44,0.25,1773.44,7093.76,5320.32,1076.87,4307.48,1012.84,19.04,Economy,PayPal,Delivered,No
ORD-10089,2024-11-06,2024-11-07,2024,November,Q4,Central,Illinois,Office Supplies,Printer Paper,CUST-1089,Mason Malik,Home Office,S. Fatima,9,1700.77,0.1,1530.69,15306.93,13776.24,893.92,8045.28,5730.96,41.6,Same Day,PayPal,Delivered,No
ORD-10090,2025-02-10,2025-02-16,2025,February,Q1,South,Texas,Electronics,Tablet,CUST-1090,Sophia Ali,Corporate,L. Garcia,13,831.26,0.0,0.0,10806.38,10806.38,541.18,7035.34,3771.04,34.9,Standard,PayPal,Shipped,No
ORD-10091,2025-09-22,2025-09-24,2025,September,Q3,North,Minnesota,Furniture,Bookshelf,CUST-1091,Usman Brown,Home Office,A. Khan,4,2499.94,0.0,0.0,9999.76,9999.76,1182.85,4731.4,5268.36,52.68,Same Day,Cash,Processing,No
ORD-10092,2023-11-29,2023-12-01,2023,November,Q4,West,Oregon,Appliances,Coffee Maker,CUST-1092,Bilal Smith,Home Office,R. Ahmed,14,1736.72,0.0,0.0,24314.08,24314.08,1157.27,16201.78,8112.3,33.36,Economy,Cash,Delivered,No
ORD-10093,2025-12-29,2025-12-31,2025,December,Q4,North,Michigan,Appliances,Coffee Maker,CUST-1093,Mariam Chaudhry,Home Office,N. Patel,5,2414.51,0.25,3018.14,12072.55,9054.41,1741.33,8706.65,347.76,3.84,Economy,PayPal,Shipped,No
ORD-10094,2024-02-13,2024-02-20,2024,February,Q1,South,Georgia,Appliances,Coffee Maker,CUST-1094,William Chaudhry,Consumer,M. Ali,10,358.92,0.1,358.92,3589.2,3230.28,167.13,1671.3,1558.98,48.26,Same Day,Credit Card,Delivered,No
ORD-10095,2023-10-29,2023-11-05,2023,October,Q4,West,Washington,Appliances,Air Purifier,CUST-1095,Liam Khan,Corporate,L. Garcia,7,242.91,0.05,85.02,1700.37,1615.35,168.83,1181.81,433.54,26.84,Express,Bank Transfer,Delivered,No
ORD-10096,2024-10-14,2024-10-15,2024,October,Q4,East,New Jersey,Furniture,Office Chair,CUST-1096,Hina Khan,Corporate,S. Fatima,14,1791.04,0.15,3761.18,25074.56,21313.38,1231.19,17236.66,4076.72,19.13,Economy,Bank Transfer,Delivered,No
ORD-10097,2024-06-08,2024-06-10,2024,June,Q2,Central,Illinois,Electronics,Laptop,CUST-1097,Omar Shaikh,Consumer,R. Ahmed,14,386.56,0.2,1082.37,5411.84,4329.47,186.85,2615.9,1713.57,39.58,Economy,Cash,Delivered,No
ORD-10098,2023-02-03,2023-02-09,2023,February,Q1,South,Texas,Electronics,Monitor,CUST-1098,Ayesha Davis,Home Office,T. Brown,9,1443.99,0.0,0.0,12995.91,12995.91,775.97,6983.73,6012.18,46.26,Express,Credit Card,Delivered,No
ORD-10099,2025-11-05,2025-11-12,2025,November,Q4,Central,Missouri,Electronics,Headphones,CUST-1099,Bilal Smith,Corporate,A. Khan,9,1392.07,0.2,2505.73,12528.63,10022.9,991.15,8920.35,1102.55,11.0,Same Day,Credit Card,Returned,Yes
ORD-10100,2024-11-11,2024-11-13,2024,November,Q4,North,Minnesota,Electronics,Headphones,CUST-1100,Zain Johnson,Corporate,S. Fatima,1,890.46,0.15,133.57,890.46,756.89,618.03,618.03,138.86,18.35,Express,Credit Card,Returned,Yes
ORD-10101,2023-03-31,2023-04-07,2023,March,Q1,South,Texas,Office Supplies,Stapler,CUST-1101,Sophia Smith,Home Office,N. Patel,4,2216.19,0.15,1329.71,8864.76,7535.05,1617.84,6471.36,1063.69,14.12,Same Day,Credit Card,Returned,Yes
